,w1,w2,sim
0,Africa,agent,0.10922385380135144
1,Africa,air,0.21485635926053187
2,Africa,alien,0.21209549395979949
3,Africa,Alps,0.2745195177480612
4,Africa,Amazon,0.44380998136126826
5,Africa,ambulance,0.18462490730015788
6,Africa,America,0.7090217821126958
7,Africa,angel,0.2476835672739995
8,Africa,Antarctica,0.4076673852598903
9,Africa,apple,0.27120473531484124
10,Africa,arm,0.11428266440891875
11,Africa,Atlantis,0.3170781952217257
12,Africa,Australia,0.6913366515858578
13,Africa,Aztec,0.36850719156496686
14,Africa,back,0.18610842056967994
15,Africa,ball,0.1253597660025754
16,Africa,band,0.11456616755895084
17,Africa,bank,0.26614286884652855
18,Africa,bar,0.10348751579508313
19,Africa,bark,0.14974366035855122
20,Africa,bat,0.14571123579737014
21,Africa,battery,0.08681612339430027
22,Africa,beach,0.3143278261547787
23,Africa,bear,0.29082651163116874
24,Africa,beat,0.12842002118056386
25,Africa,bed,0.17413276930953905
26,Africa,Beijing,0.435626669409499
27,Africa,bell,0.1890050533716192
28,Africa,belt,0.14926306735696807
29,Africa,Berlin,0.4435270720727862
30,Africa,Bermuda,0.3267131953887784
31,Africa,berry,0.25458161808123575
32,Africa,bill,0.16019804709398106
33,Africa,block,0.08863173407498655
34,Africa,board,0.13608327188403638
35,Africa,bolt,0.1015675498783718
36,Africa,bomb,0.14387173678960136
37,Africa,bond,0.1121960305792177
38,Africa,boom,0.22243797917602412
39,Africa,boot,0.13489418226702393
40,Africa,bottle,0.15124566122123384
41,Africa,bow,0.14091229210882725
42,Africa,box,0.12166330810297112
43,Africa,bridge,0.14469333762334521
44,Africa,brush,0.13404258307810588
45,Africa,buck,0.21600130200677256
46,Africa,buffalo,0.41478130543855624
47,Africa,bug,0.12171138106317411
48,Africa,bugle,0.12474306167218455
49,Africa,button,0.04573489901366339
50,Africa,calf,0.12922107639864408
51,Africa,Canada,0.586372641569353
52,Africa,cap,0.13632976784850692
53,Africa,capital,0.26572490360453077
54,Africa,car,0.22633301893222169
55,Africa,card,0.18036975565769878
56,Africa,carrot,0.11027734103934161
57,Africa,casino,0.2039871844116711
58,Africa,cast,0.052645377844030894
59,Africa,cat,0.23680116538280468
60,Africa,cell,0.1645002766124492
61,Africa,centaur,0.1280233639881288
62,Africa,center,0.14573761451718825
63,Africa,chair,0.13548466275632348
64,Africa,change,0.2047723197858985
65,Africa,charge,0.07003855680569897
66,Africa,check,0.16651573184679458
67,Africa,chest,0.12533074534302785
68,Africa,chick,0.21633581987089076
69,Africa,China,0.5302689003199587
70,Africa,chocolate,0.17618702828658844
71,Africa,church,0.19545130486249163
72,Africa,circle,0.16469925225453816
73,Africa,cliff,0.2073595213140932
74,Africa,cloak,0.11539530884625501
75,Africa,club,0.26484937359258653
76,Africa,code,0.12335032825517134
77,Africa,cold,0.17979627248335947
78,Africa,comic,0.10906087761517362
79,Africa,compound,0.07086330666835622
80,Africa,concert,0.11922945674416724
81,Africa,conductor,-0.012891318677422473
82,Africa,contract,0.09094382288053234
83,Africa,cook,0.20622327645664965
84,Africa,copper,0.15922504477461508
85,Africa,cotton,0.1467174232794059
86,Africa,court,0.1035232005738887
87,Africa,cover,0.11702376605540846
88,Africa,crane,0.19135720740532738
89,Africa,crash,0.15666842213319807
90,Africa,cricket,0.37234033850523324
91,Africa,cross,0.2155385126633114
92,Africa,crown,0.17507616518049185
93,Africa,cycle,0.152536025486088
94,Africa,Czech,0.40782965064640936
95,Africa,dance,0.24347818806420016
96,Africa,date,0.1466302877008263
97,Africa,day,0.19032867548664245
98,Africa,death,0.16061599341646793
99,Africa,deck,0.039608115628821265
100,Africa,degree,0.11478905321774467
101,Africa,diamond,0.274798023039014
102,Africa,dice,0.09549876673437545
103,Africa,dinosaur,0.20622080115290878
104,Africa,disease,0.20136200106543692
105,Africa,doctor,0.21860152999116478
106,Africa,dog,0.23139736069316388
107,Africa,draft,0.05918734218607198
108,Africa,dragon,0.2834773794807886
109,Africa,dress,0.1835444721317376
110,Africa,drill,0.1400772246025484
111,Africa,drop,0.145077229489995
112,Africa,duck,0.18255411869234528
113,Africa,dwarf,0.16810101119661552
114,Africa,eagle,0.3154191213321221
115,Africa,Egypt,0.6491755779062286
116,Africa,embassy,0.33435743355397507
117,Africa,engine,0.15119241714947854
118,Africa,England,0.631424323266082
119,Africa,Europe,0.6996318381097282
120,Africa,eye,0.19410431709092926
121,Africa,face,0.19342072115638184
122,Africa,fair,0.17327825094264138
123,Africa,fall,0.16007088206541145
124,Africa,fan,0.036760355700293054
125,Africa,fence,0.1463574256995667
126,Africa,field,0.11843893989140084
127,Africa,fighter,0.11658646828997558
128,Africa,figure,0.10032279562492954
129,Africa,file,0.08875278743928378
130,Africa,film,0.10537804647560259
131,Africa,fire,0.15971215806159383
132,Africa,fish,0.19796004042426407
133,Africa,flute,0.11927303990725706
134,Africa,fly,0.1981309466677113
135,Africa,foot,0.14118144415746844
136,Africa,force,0.20326148364519478
137,Africa,forest,0.2759891713050803
138,Africa,fork,0.08228929606694789
139,Africa,France,0.5807840051511395
140,Africa,game,0.14396853270207524
141,Africa,gas,0.19920811197124733
142,Africa,genius,0.09417051407177883
143,Africa,Germany,0.6032172015527809
144,Africa,ghost,0.19505886305910985
145,Africa,giant,0.18797920102628454
146,Africa,glass,0.15260016693340367
147,Africa,glove,0.05989260333767652
148,Africa,gold,0.22865218715090357
149,Africa,grace,0.16873586482982603
150,Africa,grass,0.17363131839856416
151,Africa,Greece,0.5547389521411044
152,Africa,green,0.2303417527868651
153,Africa,ground,0.12592946859657544
154,Africa,ham,0.15770071967951074
155,Africa,hand,0.18596617095429377
156,Africa,hawk,0.22630281316310666
157,Africa,head,0.15675513047829445
158,Africa,heart,0.15711694030500595
159,Africa,helicopter,0.16649911762808703
160,Africa,Himalayas,0.310998635365753
161,Africa,hole,0.16394090891378907
162,Africa,Hollywood,0.38552866791455065
163,Africa,honey,0.25032388040274983
164,Africa,hood,0.18675098889906414
165,Africa,hook,0.07667126997475714
166,Africa,horn,0.21914855286602625
167,Africa,horse,0.2146650430552606
168,Africa,horseshoe,0.1362809738582234
169,Africa,hospital,0.19002422961963536
170,Africa,hotel,0.22837397355180172
171,Africa,ice,0.12814773350675424
172,Africa,India,0.6671273536115523
173,Africa,iron,0.20597963303485417
174,Africa,ivory,0.2795366249619749
175,Africa,jack,0.2232616471966376
176,Africa,jam,0.14530238345686475
177,Africa,jet,0.22334888820895032
178,Africa,Jupiter,0.27640116256995134
179,Africa,kangaroo,0.22020350508205638
180,Africa,ketchup,0.10808349196663312
181,Africa,key,0.11980597075604849
182,Africa,kid,0.20848027611723063
183,Africa,king,0.2523272317624382
184,Africa,knife,0.1129185712550697
185,Africa,knight,0.22871276386783815
186,Africa,lab,0.1357103826223428
187,Africa,lap,0.0810713660224729
188,Africa,laser,0.0991510240524935
189,Africa,lawyer,0.13849509341522462
190,Africa,lead,0.08695590519875566
191,Africa,lemon,0.15107629207422812
192,Africa,life,0.23683571052080776
193,Africa,light,0.12228529141351664
194,Africa,limousine,0.10383426205376484
195,Africa,line,0.0997806195607289
196,Africa,link,0.14413078058227466
197,Africa,lion,0.3928266474971412
198,Africa,litter,0.10895213026034463
199,Africa,lock,0.09060974560806954
200,Africa,London,0.5451850653369825
201,Africa,luck,0.16474897630397806
202,Africa,mail,0.21530191805891657
203,Africa,mammoth,0.17679758164441342
204,Africa,maple,0.18076544536995867
205,Africa,marble,0.14741028109795828
206,Africa,march,0.33391921042676065
207,Africa,mass,0.1612068677252153
208,Africa,match,0.1522931026321141
209,Africa,mercury,0.18245222409255415
210,Africa,Mexico,0.5655339473524849
211,Africa,microscope,0.12388927502252141
212,Africa,millionaire,0.16596401836009103
213,Africa,mine,0.19451326589029802
214,Africa,mint,0.12490594033978725
215,Africa,missile,0.05089254933718921
216,Africa,model,0.13731947983538428
217,Africa,mole,0.10401985180869788
218,Africa,Moon,0.2717038831465812
219,Africa,Moscow,0.42192203246135956
220,Africa,mount,0.18906282421783266
221,Africa,mouse,0.12925473457886952
222,Africa,mouth,0.1761366802214092
223,Africa,mug,0.14370765952477685
224,Africa,nail,0.1252782147744856
225,Africa,needle,0.06430183108133404
226,Africa,net,0.16469781584513615
227,Africa,night,0.12371862448255748
228,Africa,note,0.12284730782216888
229,Africa,novel,0.04515192360309517
230,Africa,nurse,0.21649522986263706
231,Africa,nut,0.14244959938795024
232,Africa,octopus,0.1749401924632324
233,Africa,oil,0.22774746115074374
234,Africa,olive,0.19157871688887435
235,Africa,Olympus,0.25651839671279425
236,Africa,opera,0.1528608718296131
237,Africa,orange,0.2270514805765643
238,Africa,organ,0.10117583483000608
239,Africa,palm,0.34603963836241014
240,Africa,pan,0.18030580810729432
241,Africa,pants,0.14687389821008162
242,Africa,paper,0.11058684285944961
243,Africa,parachute,0.12469007740485921
244,Africa,park,0.29243202664018225
245,Africa,part,0.15451567597319638
246,Africa,pass,0.06958681018342666
247,Africa,paste,0.12592479268527532
248,Africa,penguin,0.3013333223390614
249,Africa,phoenix,0.38245400768065196
250,Africa,piano,0.07512557243914851
251,Africa,pie,0.17810771120192162
252,Africa,pilot,0.10088626030675055
253,Africa,pin,0.10761165931559603
254,Africa,pipe,0.13895526684758386
255,Africa,pirate,0.21163120621667697
256,Africa,pistol,0.09220687763471146
257,Africa,pit,0.1250147248311715
258,Africa,pitch,0.08176552606993796
259,Africa,plane,0.2160676787853006
260,Africa,plastic,0.1310255105282927
261,Africa,plate,0.09076690443992103
262,Africa,play,0.11979887881134599
263,Africa,plot,0.06194933408660418
264,Africa,point,0.09525413018655662
265,Africa,poison,0.19634380238916982
266,Africa,pole,0.14719144995953712
267,Africa,police,0.16093328555979294
268,Africa,pool,0.14325700918905668
269,Africa,port,0.15052287449623195
270,Africa,post,0.12017608211997054
271,Africa,pound,0.10086655440626227
272,Africa,press,0.13752872715934425
273,Africa,princess,0.22787115879969846
274,Africa,pumpkin,0.10957113757093219
275,Africa,pupil,0.05121939388664658
276,Africa,pyramid,0.2844067245705852
277,Africa,queen,0.253609629566396
278,Africa,rabbit,0.22849206485397738
279,Africa,racket,0.07594107129522783
280,Africa,ray,0.2613539428942337
281,Africa,revolution,0.3180925973469358
282,Africa,ring,0.1506959868512002
283,Africa,robin,0.35260337784554624
284,Africa,robot,0.18432621622788203
285,Africa,rock,0.225371535366508
286,Africa,Rome,0.45614826711576284
287,Africa,root,0.125883047635352
288,Africa,Rose,0.20590604181108824
289,Africa,roulette,0.17094008422538237
290,Africa,round,0.1571340342917622
291,Africa,row,0.11257067744391887
292,Africa,ruler,0.12456578477789465
293,Africa,satellite,0.1870476423715111
294,Africa,Saturn,0.2622550678349732
295,Africa,scale,0.14744646419619814
296,Africa,school,0.20879276076508493
297,Africa,scientist,0.11951182293319462
298,Africa,scorpion,0.24426871491090751
299,Africa,screen,0.0786171736223617
300,Africa,seal,0.15858045617352914
301,Africa,server,0.13940000535403924
302,Africa,shadow,0.16429554447558758
303,Africa,Shakespeare,0.32053564899119863
304,Africa,shark,0.29418535005152563
305,Africa,ship,0.1433628155280586
306,Africa,shoe,0.13146030954290083
307,Africa,shop,0.20117912957245168
308,Africa,shot,0.06552840224120453
309,Africa,sink,0.11883738525234216
310,Africa,skyscraper,0.11781012956351813
311,Africa,slip,0.12515253423706055
312,Africa,slug,0.13628902956365513
313,Africa,smuggler,0.07776493803623598
314,Africa,snow,0.16401403272389206
315,Africa,snowman,0.09331976359208358
316,Africa,sock,0.07890972779493502
317,Africa,soldier,0.19773343873087676
