Berlin,Rose,bar,bear,belt,board,bomb,bridge,buck,bug,center,code,dragon,fair,hood,lab,luck,mine,model,mouse,pitch,princess,revolution,scientist,state
,0.16441592037184555,0.21348727774776732,0.20671692726899693,0.07795278194195207,0.11788597548801052,0.18121656890590154,0.18885102162121636,0.12264172258461634,0.1232206323973805,0.2548939138307021,0.1300157074004543,0.20615772658509807,0.197628544855568,0.08977900503087505,0.13237094381613757,0.058809463182483146,0.020159400956030867,0.09473472783221072,0.07165692579017939,0.07955711410412075,0.14279101755152485,0.23611541074754788,0.047531397178270866,0.11150808310514827
0.16441592037184555,,0.1859520355981952,0.35540224935405085,0.17852663935261576,0.16883227945476736,0.17291504371835653,0.19195371026500652,0.21483397452156763,0.1044201148360158,0.2605150072005635,0.08448389306149391,0.35083673678762267,0.25394320274944715,0.1607985310044909,0.10838542675693837,0.14179699148094213,0.2546561004560751,0.10558809152707732,0.11721158003641932,0.11075914617680102,0.3496022078891135,0.2362772232012637,0.050484761924387715,0.19640552469598493
0.21348727774776732,0.1859520355981952,,0.25011910569595,0.27957203880145487,0.2744811844989222,0.22021225994655716,0.24181427652467694,0.19150446671734728,0.22712504218707968,0.38385706708972234,0.26964943106377137,0.1692789465598934,0.24851008858856255,0.25245459120525393,0.19517808559542543,0.19085653095470048,0.20761926349396279,0.1529453380531129,0.26142777520664795,0.22560900211741494,0.13124395032562527,0.17210322875436562,0.06255833313156388,0.22609174630888276
0.20671692726899693,0.35540224935405085,0.25011910569595,,0.23811432353298936,0.1692318008808911,0.27030980501452306,0.24888704572506995,0.44650077733651916,0.27256337899718397,0.1739101794227932,0.14417822023413016,0.4283170045589294,0.3569990967700198,0.27881037073510245,0.2093773687701462,0.33770442401840467,0.3635123362837335,0.20790191862640087,0.33658829137614,0.0952170800486106,0.3079144735013383,0.16629784260936056,0.2035602116012136,0.2783567873509303
0.07795278194195207,0.17852663935261576,0.27957203880145487,0.23811432353298936,,0.11891571021664603,0.19688902838001898,0.1739121632290688,0.2455199483850724,0.12484136293340298,0.23512697534536128,0.146703090134137,0.20428724633459688,0.15959569114849667,0.3935150945816805,0.10744575461979929,0.18722774188564223,0.3022952878306304,0.22785664115324777,0.12813967345346974,0.17358655203258191,0.22146229981875237,0.14926132492462676,0.07845560579739441,0.20520941065622222
0.11788597548801052,0.16883227945476736,0.2744811844989222,0.1692318008808911,0.11891571021664603,,0.16571285043220182,0.36647075624569964,0.209984879758877,0.14030363132997264,0.3380329047219103,0.18946028705901413,0.18347311280007578,0.3041077962773739,0.15986772004316185,0.24285233712169096,0.23534048529658513,0.25110819006996127,0.198289207540124,0.18144393398580758,0.23278812208963992,0.11241737724922307,0.12168021761599894,0.1607253465979084,0.3893265735647963
0.18121656890590154,0.17291504371835653,0.22021225994655716,0.27030980501452306,0.19688902838001898,0.16571285043220182,,0.27147508476741766,0.22033539707362118,0.20698630576770946,0.22884437374897224,0.13165186592684006,0.20068451166465665,0.16326640910680146,0.18740053960835462,0.26947199805422795,0.2178029022077252,0.3227192612246913,0.10595435004439646,0.14670911139457685,0.1719268567528158,0.1254674608821098,0.2870048257245383,0.28784753765136506,0.16672723714852403
0.18885102162121636,0.19195371026500652,0.24181427652467694,0.24888704572506995,0.1739121632290688,0.36647075624569964,0.27147508476741766,,0.21799339499654533,0.15355208330338205,0.35173245338062226,0.14827707492272635,0.2095396741812212,0.2593350147452261,0.18502588951355606,0.1994065489081314,0.18891407276248512,0.2807907378334386,0.23428608645781243,0.1422392442702529,0.2331335207379717,0.13696057836682457,0.15369667444324314,0.11721910115706867,0.30766358701245256
0.12264172258461634,0.21483397452156763,0.19150446671734728,0.44650077733651916,0.2455199483850724,0.209984879758877,0.22033539707362118,0.21799339499654533,,0.18105019011809245,0.09149429296034525,0.1413394558622964,0.22051834330500789,0.32412720079119445,0.2821460269475875,0.13033197847798086,0.3891307253720008,0.26515739240046005,0.18363790264203084,0.2061693380532206,0.2175264756398641,0.17793882916507792,0.19276420570589015,0.058341057793353225,0.266511955305544
0.1232206323973805,0.1044201148360158,0.22712504218707968,0.27256337899718397,0.12484136293340298,0.14030363132997264,0.20698630576770946,0.15355208330338205,0.18105019011809245,,0.09463296011572622,0.43373440820798176,0.28489117986144996,0.15441577882269192,0.24015989939767354,0.2137277019563201,0.32215919275669547,0.2723884632290296,0.15707103829398197,0.39140724038980285,0.14018662751886302,0.17777144766549596,0.09200689553673587,0.14886902934807023,0.1223947868792619
