Aztec,Canada,ambulance,bed,carrot,compound,dress,fence,field,file,kid,lawyer,light,orange,palm,post,queen,ruler,soldier,star,state,thief,wall,watch,water
,0.08354852819129877,0.011326918850340319,0.12080620361776805,0.18295023464498872,0.031678364626505695,-0.012893994666522223,-0.0026751104952672995,0.03688502831128954,0.1349633274864569,0.028998480269076997,0.02868392015734805,0.15059740919115158,-0.019547415195843434,0.21606163865983413,0.0,0.04039748422794322,0.1302099786864847,0.14611969593588975,0.11287447288006122,0.021219012677350685,0.1712044194447466,0.036383875192106785,0.10385424772520302,0.0634422916200711
0.08354852819129877,,0.027371432759998007,-0.017061488389324142,0.025725792028422362,0.0,0.04299672061870208,0.0012704490890932299,-0.060539841044484954,0.047567084604678865,0.0,-0.02083064063476058,0.0,-0.056887704804966466,-0.03425360754413955,0.09593254682786669,0.049280666392458865,-0.004344988789557183,-0.004848988647548391,0.0,0.09058037171633496,0.09434428601223778,0.027122854464260913,0.10267224875500963,0.10581205249023859
0.011326918850340319,0.027371432759998007,,-0.09300814671901023,0.009216863060223773,0.03878599336429636,0.13163350425726675,0.1540995243103857,0.07471480764972549,0.3820239386909023,-0.07488732658623087,0.04015150586417359,-0.03064576482286153,-0.02143074398560352,0.008517180915910133,-0.01393922674955981,-0.0032736766096354807,-0.11562762246982781,-0.01508168063010056,0.02824684382603048,0.03997488774271514,0.0,0.21923256856206497,0.0,0.06193546858337247
0.12080620361776805,-0.017061488389324142,-0.09300814671901023,,0.04119076296069281,0.03748607080588864,-0.14404777873083938,0.24908043635594193,-0.1511500356725355,0.045077263349987615,0.06529643756105406,0.19987647281797905,0.22080525069671755,0.002065023089693379,0.25676560874374166,0.034170253362597186,0.226505563803107,-0.04394556325886001,0.010007274479783182,0.04039818144515356,0.02191489770427097,-0.004237428473518286,0.0,0.0,-0.08466128374032851
0.18295023464498872,0.025725792028422362,0.009216863060223773,0.04119076296069281,,-0.030124638118431236,0.04799366319313326,0.285898928101755,0.06170383230154659,-8.784686030391293e-05,0.20755106231802622,0.11533085395036517,-0.009666223542748407,0.08896440555667123,0.08900728012490448,-0.028378465430119435,-0.0382381200253668,0.007266264541634043,0.0,0.0,-0.03760494306213858,-0.046058104851971586,0.029333484198228264,0.12652196053632891,0.019413422223069743
0.031678364626505695,0.0,0.03878599336429636,0.03748607080588864,-0.030124638118431236,,0.07305761843005187,-0.02810679491444341,-0.10294456533601243,-0.06134025831854662,0.014008768679157776,0.06971651237250669,0.0,0.12992448879141125,0.15096951859876287,-0.055053292337619575,-0.015039848881179133,0.02981463719384501,0.0,0.0,-0.06798830611651702,0.07097175072318128,0.13750456753331178,0.15219229685966787,0.0037907060277340868
-0.012893994666522223,0.04299672061870208,0.13163350425726675,-0.14404777873083938,0.04799366319313326,0.07305761843005187,,0.18118408920600282,-0.06352866554378306,0.11918540312855436,-0.06783386773172599,0.18056906993647084,0.21095940312932743,0.06348639750063659,-0.016110994999979294,-0.07035432684468115,0.014602031655979703,0.26953614649711016,0.0,0.10653406998980343,0.032937650442484,0.05295397521420715,0.06114806806248462,-0.06456223670853371,0.13905976440765175
-0.0026751104952672995,0.0012704490890932299,0.1540995243103857,0.24908043635594193,0.285898928101755,-0.02810679491444341,0.18118408920600282,,0.01929827332118799,0.06080426023018256,-0.04383007353035397,0.005155583570834992,-0.07770171168636661,0.031302872805564354,0.07633075378903897,0.026922134120503673,0.20571654021784097,0.1426203510480162,0.0,0.0,-0.058668710015255456,0.1439255582689155,-0.08103464297392551,0.1662366440882616,0.01739519273031604
0.03688502831128954,-0.060539841044484954,0.07471480764972549,-0.1511500356725355,0.06170383230154659,-0.10294456533601243,-0.06352866554378306,0.01929827332118799,,0.05894193010709537,0.206389850718394,-0.01676128062670649,0.025648794996485022,0.0005767867935724984,-0.03250477477534892,0.07839359519187801,-0.034507419476533054,0.047607473080302436,-0.00876794588568741,-0.02237967564819126,-0.006604229452751393,0.05712452808379718,0.06070377341153909,0.11785862129764271,0.0
0.1349633274864569,0.047567084604678865,0.3820239386909023,0.045077263349987615,-8.784686030391293e-05,-0.06134025831854662,0.11918540312855436,0.06080426023018256,0.05894193010709537,,-0.02905970733585522,0.06061347881883084,0.14397687089113984,-0.05940387790940986,0.04764303110127792,-0.03130483792575016,0.04575498862411467,0.22442932385350076,-0.08391809535876057,-0.02711673495805572,0.12087604413943656,0.08498387302960377,0.262861559645208,-0.0005657673835601991,-0.032579533582622375
